seed,comparison,delta_accuracy_pp,delta_macro_f1_pp,provenance
202605,EfficientNetV2-S_ECA-Base,2.56,2.25,Supplementary Tables S3/S4
202606,EfficientNetV2-S_ECA-Base,2.67,1.78,Supplementary Tables S3/S4
202607,EfficientNetV2-S_ECA-Base,2.83,2.28,Supplementary Tables S3/S4
202608,EfficientNetV2-S_ECA-Base,2.22,2.39,Supplementary Tables S3/S4
202609,EfficientNetV2-S_ECA-Base,2.69,2.25,Supplementary Tables S3/S4
202610,EfficientNetV2-S_ECA-Base,2.87,2.94,Supplementary Tables S3/S4
202601,EfficientNetV2-S_CBAM-ECA,2.76,3.56,Supplementary Tables S3/S4
202602,EfficientNetV2-S_CBAM-ECA,2.81,3.02,Supplementary Tables S3/S4
202603,EfficientNetV2-S_CBAM-ECA,2.61,3,Supplementary Tables S3/S4
202604,EfficientNetV2-S_CBAM-ECA,3.07,2.68,Supplementary Tables S3/S4
202605,EfficientNetV2-S_CBAM-ECA,3.13,3.13,Supplementary Tables S3/S4
202606,EfficientNetV2-S_CBAM-ECA,3.19,3.34,Supplementary Tables S3/S4
202607,EfficientNetV2-S_CBAM-ECA,2.87,2.79,Supplementary Tables S3/S4
202608,EfficientNetV2-S_CBAM-ECA,2.63,2.64,Supplementary Tables S3/S4
202609,EfficientNetV2-S_CBAM-ECA,2.7,3.24,Supplementary Tables S3/S4
202610,EfficientNetV2-S_CBAM-ECA,2.62,3,Supplementary Tables S3/S4
202601,EfficientNetV2-M_ECA-Base,1.96,2.49,Supplementary Tables S3/S4
202602,EfficientNetV2-M_ECA-Base,2.3,2.21,Supplementary Tables S3/S4
202603,EfficientNetV2-M_ECA-Base,2.34,2.92,Supplementary Tables S3/S4
202604,EfficientNetV2-M_ECA-Base,1.8,2.18,Supplementary Tables S3/S4
202605,EfficientNetV2-M_ECA-Base,2.37,2.05,Supplementary Tables S3/S4
202606,EfficientNetV2-M_ECA-Base,2.13,2.36,Supplementary Tables S3/S4
202607,EfficientNetV2-M_ECA-Base,2.51,2.35,Supplementary Tables S3/S4
202608,EfficientNetV2-M_ECA-Base,2.43,2.97,Supplementary Tables S3/S4
202609,EfficientNetV2-M_ECA-Base,2.44,2.76,Supplementary Tables S3/S4
202610,EfficientNetV2-M_ECA-Base,2.13,2.62,Supplementary Tables S3/S4
202601,EfficientNetV2-M_CBAM-ECA,1.66,1.83,Supplementary Tables S3/S4
202602,EfficientNetV2-M_CBAM-ECA,1.97,2.13,Supplementary Tables S3/S4
202603,EfficientNetV2-M_CBAM-ECA,1.78,2.2,Supplementary Tables S3/S4
202604,EfficientNetV2-M_CBAM-ECA,1.76,2.28,Supplementary Tables S3/S4
202605,EfficientNetV2-M_CBAM-ECA,1.66,2.3,Supplementary Tables S3/S4
202606,EfficientNetV2-M_CBAM-ECA,1.48,2.01,Supplementary Tables S3/S4
202607,EfficientNetV2-M_CBAM-ECA,1.45,2.73,Supplementary Tables S3/S4
202608,EfficientNetV2-M_CBAM-ECA,1.47,2.44,Supplementary Tables S3/S4
202609,EfficientNetV2-M_CBAM-ECA,1.66,2.04,Supplementary Tables S3/S4
202610,EfficientNetV2-M_CBAM-ECA,1.91,2.15,Supplementary Tables S3/S4
202601,EfficientNetV2-M_SVMU-Softmax,0.63,0.14,Supplementary Tables S3/S4
202602,EfficientNetV2-M_SVMU-Softmax,0.62,0.26,Supplementary Tables S3/S4
202603,EfficientNetV2-M_SVMU-Softmax,0.19,0.44,Supplementary Tables S3/S4
202604,EfficientNetV2-M_SVMU-Softmax,0.54,0.62,Supplementary Tables S3/S4
202605,EfficientNetV2-M_SVMU-Softmax,0.54,0.81,Supplementary Tables S3/S4
202606,EfficientNetV2-M_SVMU-Softmax,0.81,0.54,Supplementary Tables S3/S4
202607,EfficientNetV2-M_SVMU-Softmax,0.76,0.09,Supplementary Tables S3/S4
202608,EfficientNetV2-M_SVMU-Softmax,0.62,0.23,Supplementary Tables S3/S4
202609,EfficientNetV2-M_SVMU-Softmax,0.63,0.74,Supplementary Tables S3/S4
202610,EfficientNetV2-M_SVMU-Softmax,0.38,0.52,Supplementary Tables S3/S4
202601,ConvNeXt-B_SVMU-Softmax,0.69,0.41,Supplementary Tables S3/S4
202602,ConvNeXt-B_SVMU-Softmax,0.72,0.04,Supplementary Tables S3/S4
202603,ConvNeXt-B_SVMU-Softmax,0.51,0.64,Supplementary Tables S3/S4
202604,ConvNeXt-B_SVMU-Softmax,0.6,0.7,Supplementary Tables S3/S4
202605,ConvNeXt-B_SVMU-Softmax,0.48,0.41,Supplementary Tables S3/S4
202606,ConvNeXt-B_SVMU-Softmax,0.6,0.31,Supplementary Tables S3/S4
202607,ConvNeXt-B_SVMU-Softmax,0.59,0.39,Supplementary Tables S3/S4
202608,ConvNeXt-B_SVMU-Softmax,0.61,0.67,Supplementary Tables S3/S4
202609,ConvNeXt-B_SVMU-Softmax,0.73,0.31,Supplementary Tables S3/S4
202610,ConvNeXt-B_SVMU-Softmax,0.97,0.51,Supplementary Tables S3/S4
