seed,representation,decision_model,class_weighting,accuracy,macro_f1
202603,ECA,Linear SVM,None,75.2737,68.3545
202604,ECA,Linear SVM,None,75.7115,67.9228
202605,ECA,Linear SVM,None,75.1258,68.1161
202606,ECA,Linear SVM,None,75.6514,67.521
202607,ECA,Linear SVM,None,75.5909,67.7955
202608,ECA,Linear SVM,None,75.0843,67.9911
202609,ECA,Linear SVM,None,75.286,67.3919
202610,ECA,Linear SVM,None,75.1698,67.8862
202601,ECA,Linear SVM,Inverse-frequency,75.8149,68.9627
202602,ECA,Linear SVM,Inverse-frequency,75.9942,68.29
202603,ECA,Linear SVM,Inverse-frequency,75.6931,68.4748
202604,ECA,Linear SVM,Inverse-frequency,75.1946,67.8958
202605,ECA,Linear SVM,Inverse-frequency,75.6922,68.7966
202606,ECA,Linear SVM,Inverse-frequency,75.4638,67.8355
202607,ECA,Linear SVM,Inverse-frequency,75.7185,68.6975
202608,ECA,Linear SVM,Inverse-frequency,75.8427,68.7083
202609,ECA,Linear SVM,Inverse-frequency,75.8908,68.3728
202610,ECA,Linear SVM,Inverse-frequency,76.0952,68.1659
202601,CBAM,Softmax CE,None,76.549,70.0988
202602,CBAM,Softmax CE,None,76.6196,69.5013
202603,CBAM,Softmax CE,None,76.3374,70.2701
202604,CBAM,Softmax CE,None,77.1043,69.2046
202605,CBAM,Softmax CE,None,76.8246,69.8932
202606,CBAM,Softmax CE,None,76.9739,69.6613
202607,CBAM,Softmax CE,None,76.4727,69.1409
202608,CBAM,Softmax CE,None,76.6002,69.8231
202609,CBAM,Softmax CE,None,76.6474,69.4516
202610,CBAM,Softmax CE,None,76.371,69.4552
202601,CBAM,Softmax CE,Inverse-frequency,76.1209,69.9722
202602,CBAM,Softmax CE,Inverse-frequency,76.1367,69.8134
202603,CBAM,Softmax CE,Inverse-frequency,76.684,70.231
202604,CBAM,Softmax CE,Inverse-frequency,75.9718,70.7211
202605,CBAM,Softmax CE,Inverse-frequency,76.6814,70.8337
202606,CBAM,Softmax CE,Inverse-frequency,76.0548,70.5202
202607,CBAM,Softmax CE,Inverse-frequency,76.6488,69.8605
202608,CBAM,Softmax CE,Inverse-frequency,76.2612,70.7444
202609,CBAM,Softmax CE,Inverse-frequency,76.2387,70.1538
202610,CBAM,Softmax CE,Inverse-frequency,76.2017,70.6496
202601,CBAM,LR,None,76.0344,68.4807
202602,CBAM,LR,None,75.9074,67.6402
202603,CBAM,LR,None,75.7165,68.119
202604,CBAM,LR,None,75.6681,68.3438
202605,CBAM,LR,None,75.9839,68.2868
202606,CBAM,LR,None,76.1458,68.7467
202607,CBAM,LR,None,76.4326,67.8798
202608,CBAM,LR,None,75.5683,68.5992
202609,CBAM,LR,None,75.9438,68.5094
202610,CBAM,LR,None,75.9993,67.7942
202601,CBAM,LR,Inverse-frequency,75.8938,68.5845
202602,CBAM,LR,Inverse-frequency,75.3668,68.6928
202603,CBAM,LR,Inverse-frequency,75.7738,68.9674
202604,CBAM,LR,Inverse-frequency,75.9502,68.059
202605,CBAM,LR,Inverse-frequency,75.7391,69.0884
202606,CBAM,LR,Inverse-frequency,75.9925,67.9783
202607,CBAM,LR,Inverse-frequency,75.3482,68.6658
202608,CBAM,LR,Inverse-frequency,75.7719,68.5147
202609,CBAM,LR,Inverse-frequency,75.8538,68.2663
202610,CBAM,LR,Inverse-frequency,75.31,68.6827
202601,CBAM,Linear SVM,None,76.9355,70.0647
202602,CBAM,Linear SVM,None,77.4161,70.0184
202603,CBAM,Linear SVM,None,77.2946,70.5942
202604,CBAM,Linear SVM,None,76.9621,69.9279
202605,CBAM,Linear SVM,None,77.0308,70.2847
202606,CBAM,Linear SVM,None,77.2756,70.2084
202607,CBAM,Linear SVM,None,77.3088,70.3785
202608,CBAM,Linear SVM,None,77.6796,70.2185
202609,CBAM,Linear SVM,None,77.0579,69.8543
202610,CBAM,Linear SVM,None,77.239,69.3505
202601,CBAM,Linear SVM,Inverse-frequency,77.3973,71.0527
202602,CBAM,Linear SVM,Inverse-frequency,77.3184,70.8313
202603,CBAM,Linear SVM,Inverse-frequency,77.549,71.0166
202604,CBAM,Linear SVM,Inverse-frequency,77.7294,70.725
202605,CBAM,Linear SVM,Inverse-frequency,77.5596,70.6102
202606,CBAM,Linear SVM,Inverse-frequency,77.7661,70.9677
202607,CBAM,Linear SVM,Inverse-frequency,77.9146,70.8304
202608,CBAM,Linear SVM,Inverse-frequency,77.5635,70.0128
202609,CBAM,Linear SVM,Inverse-frequency,77.8894,70.394
202610,CBAM,Linear SVM,Inverse-frequency,77.3126,70.8594
